Date,Water_Avg,Water_Min,Water_Max,year,DataType,Air_Avg,Air_Min,Air_Max,location,season,TimeSeries
1991-01-01,280.0,279.9,280.2,1991,0.0,278.85875,276.71,282.89,Bougival,1,1
1991-01-02,280.4,280.1,280.8,1991,0.0,283.54291666666666,283.21,284.79,Bougival,1,1
1991-01-03,281.1,280.8,281.4,1991,0.0,283.2595833333333,280.05,283.77,Bougival,1,1
1991-01-04,281.2,280.9,281.4,1991,0.0,279.3041666666667,275.25,280.26,Bougival,1,1
1991-01-05,280.8,280.7,280.9,1991,0.0,278.8670833333333,277.89,281.05,Bougival,1,1
1991-01-06,280.6,280.5,280.7,1991,0.0,279.82708333333335,278.92,281.14,Bougival,1,1
1991-01-07,280.5,280.3,280.7,1991,0.0,280.4220833333333,277.97,282.55,Bougival,1,1
1991-01-08,280.2,280.1,280.3,1991,0.0,281.06541666666664,279.85,282.68,Bougival,1,1
1991-01-09,280.1,280.1,280.2,1991,0.0,282.0129166666667,280.49,286.71,Bougival,1,1
1991-01-10,280.5,280.2,280.8,1991,0.0,282.94166666666666,280.73,285.76,Bougival,1,1
1991-01-11,280.9,280.8,280.9,1991,0.0,281.5208333333333,275.69,283.59,Bougival,1,1
1991-01-12,280.9,280.8,281.0,1991,0.0,277.1929166666667,275.29,280.53,Bougival,1,1
1991-01-13,280.9,280.8,281.0,1991,0.0,276.2033333333333,272.48,277.96,Bougival,1,1
1991-01-14,280.3,280.0,280.8,1991,0.0,274.21,272.42,277.0,Bougival,1,1
1991-01-15,279.6,279.2,280.0,1991,0.0,274.31625,272.54,275.44,Bougival,1,1
1991-01-16,279.0,278.5,279.2,1991,0.0,275.2291666666667,273.48,278.32,Bougival,1,1
1991-01-17,278.2,277.9,278.5,1991,0.0,277.6020833333333,274.88,282.27,Bougival,1,1
1991-01-18,277.5,277.2,277.9,1991,0.0,278.72125,277.45,280.59,Bougival,1,1
1991-01-19,277.1,276.9,277.3,1991,0.0,278.47541666666666,273.1,280.95,Bougival,1,1
1991-01-20,276.6,276.5,276.9,1991,0.0,276.66541666666666,273.29,281.7,Bougival,1,1
1991-01-21,276.6,276.5,276.8,1991,0.0,277.7625,275.58,282.42,Bougival,1,1
1991-01-22,277.0,276.7,277.3,1991,0.0,277.62875,276.04,279.03,Bougival,1,1
1991-01-23,277.3,277.2,277.5,1991,0.0,276.325,274.37,277.06,Bougival,1,1
1991-01-24,277.5,277.4,277.5,1991,0.0,274.40916666666664,273.34,275.04,Bougival,1,1
1991-01-25,277.7,277.5,277.9,1991,0.0,273.88875,272.93,274.25,Bougival,1,1
1991-01-26,277.9,277.9,278.0,1991,0.0,273.17,271.73,274.51,Bougival,1,1
1991-01-27,277.8,277.8,278.0,1991,0.0,272.59125,271.92,273.37,Bougival,1,1
1991-01-28,277.8,277.7,277.8,1991,0.0,273.3304166666667,272.61,273.57,Bougival,1,1
1991-01-29,277.8,277.6,277.9,1991,0.0,273.5720833333333,268.87,274.95,Bougival,1,1
1991-01-30,277.4,277.3,277.6,1991,0.0,271.6166666666667,269.53,275.3,Bougival,1,1
